Nome;CNPJ;Razao;Rede;Cluster;Estado;Cidade;Bairro;Endereco;Numero;Complemento;Pontos
Multisom - Praça Rio Grande Shopping Center - LOJA;4,11E+12;Praça Rio Grande Shopping Center;Multisom;C;RS;Rio Grande ;Vila Sao Miguel ;Rua Jockey Clube,155 Loja 46, Shoppi Bairro Vl Sao Miguel  Cep 96212-730; -; -; -
Multisom - Royal Plaza Shopping - LOJA;4,11E+12;Royal Plaza Shopping;Multisom;C;RS;Santa Maria;Ns. Das Dores ;Av Nossa Senhora Das Dores, 305 - Loja 360 - Cep: 97050-531 - Nossa Senhora Das Dores - Santa Maria (Rs); -; -; -
Multisom - Shopping Bella Citta - LOJA;4,11E+12;Shopping Bella Citta;Multisom;B;RS;Passo Fundo;Centro ;R Coronel Chicuta, 355 Loja 11 Shopping Bella Citta - Cep: 99010-050 - Centro - Passo Fundo - Rs; -; -; -
Multisom - Shopping Bourbon Country - KIOSQUE;4,11E+12;Rondon Plaza Shopping;Kadri Comercio De Eletronicos Ltda;C;RS;Porto Alegre ;Passo D'Areia;"Av Tulio De Rose, 80 Quiosqq 01Q05  Passo D'Areia cep 91340-110
"; -; -; -
Multisom - Shopping Gravatai - LOJA;4,11E+12;Shopping Gravatai;Multisom;C;RS;Gravataí;Passo Das Pedras ;Av. Centenário 555 Loja 242 A - Passo Das Pedras - Gravataí- Rs Cep. 94035-240; -; -; -
Multisom - Shopping Iguatemi POA - LOJA;4,11E+12;Shopping Iguatemi POA;Multisom;A;RS;Porto Alegre;Passo Dareia ;Av Joao Wallig, 1800 - Loja 126 Cep: 91340-001 - Passo Dareia - Porto Alegre (Rs); -; -; -
Multisom - Shopping Pelotas - LOJA;4,11E+12;Shopping Pelotas;Multisom;C;RS;Pelotas;Areal ;Av. Ferreira Viana, 1526 - Lj 28, Areal - 96085-000 - Pelotas; -; -; -
Multisom - Shopping Praia de Belas - LOJA;4,11E+12;Shopping Praia de Belas;Multisom;B;RS;Porto Alegre;Menino Deus;Av Praia De Belas, 1181 Loja 3060 CEP 90110-001 Praia de Belas; -; -; -
Multisom - Shopping Total - KIOSQUE;4,11E+12;Shopping Total;Multisom;C;RS;Porto Alegre;Floresta ;Av Cristovão Colombo 35 - Quiosque 38 - Bairro  Floresta - Cep 90560-003; -; -; -
Primetek - Flamboyant Shopping Center - LOJA;7,85E+12;Flamboyant Shopping Center;Primetek;B;GO;Goiânia;Jardim Goias ;Av. Deputado Jamel Cecílio, N° 3300 – Qd.B-34 Lt.2E – Loja S-258 – Jardim Goiás – Cep 74810-907 – Goiânia – Go.; -; -; -
Primetek - Portal Shopping - LOJA;7,85E+12;Portal Shopping;Primetek;C;GO;Goiânia;Capuava ;"Av Anhanguera Número 
14.404 
Complemento 
Quadra Area Lote 39 A/E Luc 290 Cep 
74450-010  Bairro/Distrito 
Capuava "; -; -; -
Primetek - Shopping Buriti - LOJA;7,85E+12;Shopping Buriti;Primetek;C;GO;Aparecida de Goiânia;Vila Sao Tomaz ;Av. Rio Verde, Sem Número - Qd. 102, Piso Térrio - Loja 177 - Cep 74916-260 - Goiânia - Go.; -; -; -
Primetek - Shopping Buriti Rio Verde - LOJA;7,85E+12;Shopping Buriti Rio Verde;Primetek;C;GO;Rio Verde ;Residencial Jardim Campestre;R O, 1044 Quadra015 Lote 01 Luc'S: 007/008 Cep 75.907-681 Bairro  Residencial Jardim Campestre Rio Verde Go; -; -; -
Primetek - Shopping Passeio das Aguas - LOJA;7,85E+12;Shopping Passeio das Aguas;Primetek;C;GO;Goiânia;Fazenda Caveiras ;Av Perimetral Norte, 8303, Loja 113/114 Andar Terreo Piso 1 Cep: 74445-360 - Fazenda Caveiras - Goiania (Go); -; -; -
Primetek - Shopping Sul - LOJA;7,85E+12;Shopping Sul;Primetek;C;GO;Val Paraiso;Parque Esplanada Iii;Br 040 Km 12, Gleba F, S/N , Qd 01, Lt 01; -; -; -
Prosperus Comercio E Serviços - Barra Shopping - LOJA;1,77E+13;Barra Shopping;Prosperus Comercio E Serviços;A;RJ;Rio de Janeiro;Barra Da Tijuca;Av das Américas 4666 loja 108/114 H, Barra da Tijuca Rio de Janeiro- RJ CEP: 22640-902; -; -; -
