"Nome","CNPJ","Razao","Rede","Cluster","Estado","Cidade","Bairro","Endereco","Numero","Complemento","Pontos",,,,,,,
"Allied Advanced Technologies S.A - Santana Parque Shopping - KIOSQUE",2,20000000000000,"Santana Parque Shopping","Allied Advanced Technologies S.A","B","SP","S�o Paulo","Santana","R Conselheiro Moreira De Barros",2780," Q 220"," -"," -"," -",,,,
"Allied Advanced Technologies S.A - Shopping ABC - LOJA",2,20000000000000,"Shopping ABC","Allied Advanced Technologies S.A","B","SP","Santo Andr�","Vila Gilda ","Av Pereira Barreto"," 42 - Loja 278 / 288"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Shopping Analia Franco - LOJA",2,20000000000000,"Shopping Analia Franco","Allied Advanced Technologies S.A","A","SP","S�o Paulo","Vila Regente Feijo ","Av Regente Feijo"," 1739 - Loja Luc Oq-33 Pavlh Shop Analia Franco - Cep: 03342-000 - Vila Regente Feijo - Sao Paulo (Sp)"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Shopping Center Norte - LOJA",2,20000000000000,"Shopping Center Norte","Allied Advanced Technologies S.A","A","SP","S�o Paulo","Vila Guilherme ","Tv Casalbuono"," 120 - Loja De Uso Comercial (Luc) L950 Shop Center Norte - 02089-900 - Vila Guilherme - Sao Paulo (Sp)"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Shopping Colinas  - KIOSQUE ",2,20000000000000,"Shopping Colinas ","Allied Advanced Technologies S.A","C","SP","S�o Jos� dos Campos","JARDIM DAS COLINAS ","Avenida Sao Joao",2200," Cep 12242-000"," Jardim das Colinas"," Sao Jose dos Campos"," SP"," -"," -"," -",
"Allied Advanced Technologies S.A - Shopping Eldorado - LOJA",2,20000000000000,"Shopping Eldorado","Allied Advanced Technologies S.A","A","SP","S�o Paulo","Pinheiros ","Av. Rebou�as"," 3970 - Loja 0248"," Piso 1 - Pinheiros - S�o Paulo (Sp) - Cep: 05402-600 "," -"," -"," -",,,,
"Allied Advanced Technologies S.A - Shopping Grande Rio - LOJA",2,20000000000000,"Shopping Grande Rio","Allied Advanced Technologies S.A","B","RJ","S�o Jo�o do Meriti","Centro","R MARIA SOARES SENDA"," 111 loja 263/65"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Shopping Iguatemi Esplanada - LOJA",2,20000000000000,"Shopping Iguatemi Esplanada","Allied Advanced Technologies S.A","A","SP","Sorocaba","Parque Bela Vista ","Av Gisele Constantino"," 1800 - Lojas Uso Comercial N 164 - Cep: 18110-650 - Parque Bela Vista - Votorantim (Sp)"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Shopping Leblon - LOJA",2,20000000000000,"Shopping Leblon","Allied Advanced Technologies S.A","A","RJ","Rio de Janeiro","Leblon ","Av Afranio De Melo Franco",290," Lojas 108 C/D - Cep: 22430-060 - Leblon Rj"," -"," -"," -",,,,
"Allied Advanced Technologies S.A - Shopping Light - KIOSQUE",2,20000000000000,"Shopping Light","Allied Advanced Technologies S.A","C","SP","S�o Paulo","Republica","Rua Coronel Xavier De Toledo, 23 Qr.5.3; Terreo"," -"," -"," -",,,,,,
