Nome,CNPJ,Razao,REDE,Cluster,Estado,Cidade,Bairro,Endereco,Numero,Complemento,Pontos
Cs Sao Paulo Comercio De Eletronicos Ltda  - Uberaba Shopping - LOJA,18412149000224,Uberaba Shopping,NEOR-007,C,MG,Uberaba ,Sao Benedito ,"Av Santa Beatriz Da Silva, 1501 : Suc 256; Cep: 38020-433 Sao Benedito Uberaba Mg",,,
Esb Telefones Ltda - Salvador Norte Shopping - LOJA,660296000410,Salvador Norte Shopping,NEOR-008,B,BA,Salvador,Sao Cristovao,"Rod Ba-526, 305 - Salvador Norte Shopping Loja 2004 2 Piso - Cep: 41510-000  - Sao Cristovao - Salvador (Ba)",,,
Esb Telefones Ltda - Salvador Shopping - LOJA,660296000258,Salvador Shopping,NEOR-008,A,BA,Salvador,Caminho Das Arvores ,"Av. Tancredo Neves,  3133 - Caminho Das Árvore - Loja 1084 - Salvador (Ba) - Cep: 41820-021",,,
Esb Telefones Ltda - Shopping Barra Salvador - LOJA,660296000177,Shopping Barra Salvador,NEOR-008,B,BA,Salvador,Chame-Chame ,"Av Centenario, 2992 - Loja 149 A L 1 Shopping Barra - Cep: 40155-150 - Chame-Chame - Salvador - Sp",,,
Esb Telefones Ltda - Shopping Bela Vista - KIOSQUE,660296000762,Shopping Bela Vista,NEOR-008,C,BA,Salvador,Horto Bela Vista ,"Al Euvaldo Luz, 92 Quiosque Q19,1 Piso L1 ",,,
Esb Telefones Ltda - Shopping da Bahia Piso 1 - LOJA,660296000843,Shopping da Bahia Piso 1,NEOR-008,C,BA,Salvador,Caminho Das Arvores ,"Avenida Tancredoneves, 148 Loja09 E 10 Quadrab",,,
Esb Telefones Ltda - Shopping da Bahia Piso 3 - LOJA,660296000339,Shopping da Bahia Piso 3,NEOR-008,A,BA,Salvador,Caminho Das Arvores ,"Av.Tancredo Neves Nº 148, Loja 1 A 3, 3º Piso, Quadra X Caminho Das Arvores, Cep 41820-908, Salvador/Ba.",,,
Esb Telefones Ltda - Shopping Lapa - KIOSQUE,660296000924,Shopping Lapa,NEOR-008,C,BA,Salvador,Caminho Das Arvores ,"Av Tancredo Neves, 148 Loja 09 E 10 Quadrab Shopping Iguatemi 
",,,
Esb Telefones Ltda - Shopping Paralela - LOJA,660296000509,Shopping Paralela,NEOR-008,B,BA,Salvador,Paralela ,"Av Luiz Viana Filho, 8544 - Quadra E, Loja 106, 1º Piso - Cep: 41701-005 Paralela - Salvador (Ba)",,,
Infostore Computadores Da Amazonia Ltda - Amazonas Shopping - LOJA,2337524000874,Amazonas Shopping,NEOR-009,B,AM,Manaus,Parque Dez De Novembro,"Av. Djalma Batista, 482 -  Lj. 143 - 1º Piso - Flores - Manaus (Am) - Cep: 69050-010",,,
Infostore Computadores Da Amazonia Ltda - Boulevard Shopping Bélem - KIOSQUE,2337524002907,Boulevard Shopping Bélem,NEOR-009,C,PA,Belém,Reduto ,"Av: Visconde de Souza Franco, 776 - Complemento - Quiosque -113, -Reduto- Bélem/PA - Cep: 66.053-000",,,
Infostore Computadores Da Amazonia Ltda - Boulevard Shopping Belem - LOJA,2337524000955,Boulevard Shopping Belem,NEOR-009,A,PA,Belém,Reduto ,"Av. Visconde De Souza Franco, 776 Lj. 110 - Reduto - Belém (Pa) - Cep: 66053-000",,,
Infostore Computadores Da Amazonia Ltda - Manauara Shopping - LOJA,2337524001501,Manauara Shopping,NEOR-009,A,AM,Manaus,Adrianopolis ,Av Mario Ypiranga 1300 Loja 67/68  1º Piso Manauara Shop - Cep: 69057-002 Adrianopolis - Manaus (Am),,,
Infostore Computadores Da Amazonia Ltda - Parque Shopping Belem - LOJA,2337524001765,Parque Shopping Belem,NEOR-009,C,PA,Belém,Parque Verde ,"Rod. Augusto Montenegro, 4300 Loja 1027/1028 1°Piso; Parque Verde - Belém - Pa ",,,
Infostore Computadores Da Amazonia Ltda - Partage Shopping Parauapebas - LOJA,2337524002141,Partage Shopping Parauapebas,NEOR-009,C,PA,Parauapebas,NUCLEO RES. E DE SERV. CARAJAS ,"ROD PA 275 KM 61,6 LOTE 01A, LOJA: 44/45 ; : PARTAGE SHOPPING ; PARAUAPEBAS - QUADRA S/N; ",,,
Infostore Computadores Da Amazonia Ltda - Porto Velho Shopping - LOJA,2337524001331,Porto Velho Shopping,NEOR-009,B,RO,Porto Velho,Flodoaldo Pontes Pinto ,"Av Rio Madeira, 3288 - Loja 230/231 2 Piso Porto Velho Shopping - Cep: 76820-408 - Flodoaldo Pontes Pinto - Porto Velho - Ro",,,
Infostore Computadores Da Amazonia Ltda - Shopping Patio Belem - LOJA,2337524001412,Shopping Patio Belem,NEOR-009,B,PA,Belém,Batista Campos ,"Tv Padre Eutiquio, 1078 Loja 120 1º Piso - Shopping Pátio Belém Cep 66023-710 Batista Campos",,,
Infostore Computadores Da Amazonia Ltda - Shopping Patio Maraba - LOJA,2337524001927,Shopping Patio Maraba,NEOR-009,B,PA,Marabá,Nova Maraba ,Q Quadra 15 Folha 30 Loe 10 S/N - Loja 248/249 2 Piso Shopping Center Patio Maraba - Cep: 68507-445 - Nova Maraba - Maraba (Pa),,,
